o,d,generated_flow,Actual_flow
717.0,240.0,2.0609202,2.0
666.0,1779.0,2.0429592,2.0
1109.0,280.0,3.5488229,2.0
1562.0,2059.0,4.2692714,3.0
903.0,902.0,2.771811,3.0
449.0,438.0,2.7519145,2.0
896.0,898.0,2.0673172,4.0
585.0,1715.0,2.061006,2.0
1058.0,1040.0,2.3652275,2.0
1850.0,906.0,2.3952909,2.0
1562.0,191.0,2.98673,2.0
240.0,151.0,3.0397282,2.0
1850.0,1754.0,2.9082284,2.0
587.0,109.0,2.1568615,2.0
1043.0,1254.0,2.1966028,2.0
54.0,1020.0,2.0669057,2.0
15.0,1844.0,2.6861281,2.0
0.0,1646.0,3.6087122,2.0
451.0,1023.0,2.0949144,2.0
2000.0,194.0,3.2144861,2.0
1899.0,1779.0,2.0034785,3.0
774.0,272.0,2.6299806,2.0
140.0,196.0,2.0612464,2.0
898.0,1834.0,2.661009,2.0
2048.0,2050.0,2.0925515,2.0
176.0,1323.0,2.834248,2.0
2074.0,1070.0,2.5972977,2.0
1318.0,1192.0,2.063146,2.0
828.0,107.0,3.6457596,3.0
936.0,933.0,2.043804,2.0
1164.0,1128.0,2.1950064,2.0
1186.0,245.0,3.081231,6.0
28.0,1058.0,2.805025,3.0
1278.0,1268.0,2.3598633,2.0
826.0,1160.0,2.8247757,4.0
667.0,167.0,2.029115,2.0
5.0,1572.0,3.1999316,2.0
1055.0,1057.0,2.0733638,2.0
1909.0,783.0,2.12284,3.0
774.0,175.0,2.1046445,2.0
1184.0,128.0,1.9622897,2.0
410.0,318.0,2.546562,2.0
868.0,158.0,2.1255965,3.0
207.0,76.0,4.710439,5.0
1815.0,1975.0,2.5680103,2.0
1043.0,1044.0,8.55723,9.0
1978.0,1779.0,2.17854,2.0
1225.0,245.0,2.588539,4.0
1961.0,1173.0,3.3298259,4.0
1147.0,1964.0,2.5485926,2.0
1158.0,828.0,8.793004,11.0
1438.0,237.0,2.9413605,2.0
828.0,1112.0,12.584518,10.0
1259.0,1749.0,5.3807373,2.0
61.0,1371.0,2.594721,3.0
1626.0,1868.0,2.215898,2.0
857.0,1116.0,2.6672263,2.0
832.0,469.0,3.4649084,3.0
433.0,194.0,6.6647973,7.0
598.0,828.0,2.1280189,3.0
1041.0,1907.0,2.0647733,3.0
774.0,433.0,2.6720462,2.0
193.0,2025.0,4.5116863,3.0
815.0,157.0,2.4097705,2.0
207.0,1838.0,4.792179,3.0
1747.0,1043.0,3.5573196,3.0
1779.0,1948.0,1.9588288,2.0
2011.0,193.0,4.4022484,3.0
880.0,857.0,2.0633667,3.0
835.0,559.0,2.6354961,2.0
469.0,797.0,9.959057,12.0
1956.0,1146.0,3.8532739,2.0
1838.0,927.0,2.1020668,3.0
476.0,4.0,4.961622,5.0
1139.0,825.0,3.796273,3.0
1133.0,1647.0,2.7306092,2.0
479.0,1113.0,2.0838757,2.0
1832.0,1668.0,2.6751766,2.0
487.0,1670.0,2.286511,4.0
1111.0,812.0,2.2908344,2.0
93.0,469.0,2.3476553,2.0
1627.0,1861.0,2.5300064,3.0
1259.0,174.0,5.2687073,4.0
1749.0,1011.0,2.2275453,2.0
1847.0,106.0,2.0592992,2.0
1820.0,997.0,2.0576892,2.0
1970.0,1156.0,2.2309136,2.0
600.0,1838.0,2.9942536,6.0
1259.0,1615.0,2.5723093,2.0
1838.0,1211.0,2.376395,7.0
850.0,813.0,5.763495,5.0
828.0,804.0,2.2696135,2.0
57.0,1369.0,3.7233596,8.0
206.0,1155.0,2.8693013,2.0
1046.0,1924.0,2.7618837,4.0
1147.0,469.0,2.9031935,2.0
1779.0,138.0,2.0552492,2.0
1833.0,2027.0,2.3804495,4.0
616.0,109.0,2.2023258,2.0
490.0,176.0,2.5474215,2.0
1858.0,891.0,2.0613108,2.0
1421.0,502.0,2.0631979,2.0
1666.0,1647.0,7.662568,14.0
2011.0,1893.0,2.8075435,8.0
379.0,843.0,2.2472706,2.0
1068.0,883.0,3.1316333,2.0
939.0,1747.0,2.6073751,3.0
156.0,1122.0,2.5682673,2.0
2006.0,1016.0,2.4308505,3.0
1850.0,1751.0,2.2327728,3.0
1018.0,2047.0,2.0801349,3.0
1930.0,1917.0,2.1572385,2.0
454.0,778.0,2.6484914,2.0
15.0,1779.0,2.179654,5.0
1415.0,1023.0,2.056039,2.0
194.0,1230.0,2.3003857,2.0
1158.0,856.0,2.8728573,3.0
136.0,145.0,3.139917,2.0
825.0,843.0,2.5823135,2.0
2039.0,2011.0,2.0569618,2.0
2041.0,1096.0,2.0525153,2.0
1852.0,1972.0,2.0875394,2.0
1158.0,1136.0,3.3408518,2.0
811.0,1109.0,3.3255486,2.0
906.0,1068.0,3.2734394,3.0
1420.0,1413.0,2.0517397,2.0
1133.0,1152.0,2.9279556,3.0
813.0,109.0,3.4288387,3.0
674.0,1861.0,2.245122,2.0
1147.0,1112.0,3.0056775,2.0
1852.0,828.0,2.7004092,3.0
358.0,1407.0,2.0630474,2.0
1755.0,701.0,2.0636969,2.0
840.0,1160.0,2.7176256,4.0
1164.0,876.0,2.0278866,2.0
191.0,1907.0,2.572526,4.0
1383.0,1374.0,2.0612764,2.0
1808.0,2009.0,2.5776076,2.0
940.0,1248.0,2.5439565,3.0
1249.0,1677.0,2.0663395,2.0
1647.0,1666.0,3.2237372,4.0
835.0,1178.0,2.1899474,2.0
94.0,1794.0,2.6615152,2.0
159.0,1121.0,2.3543043,2.0
151.0,240.0,3.4802945,4.0
1175.0,797.0,2.143753,2.0
193.0,1053.0,2.5995278,2.0
206.0,85.0,2.19522,2.0
1812.0,1794.0,2.4585323,3.0
1012.0,883.0,3.3915,3.0
1677.0,1058.0,2.1303773,3.0
193.0,1158.0,2.6075585,3.0
1189.0,1121.0,2.0602038,2.0
2043.0,206.0,2.075607,2.0
176.0,1742.0,3.1147285,4.0
1041.0,57.0,2.166542,2.0
1866.0,635.0,2.0514574,2.0
1749.0,1845.0,2.4598465,4.0
1171.0,206.0,3.4896371,2.0
1807.0,2028.0,4.859934,7.0
279.0,1981.0,4.2300005,2.0
1859.0,899.0,2.0495381,3.0
892.0,1901.0,2.7865396,3.0
76.0,206.0,2.9101167,2.0
89.0,105.0,2.251241,2.0
237.0,500.0,3.055101,6.0
883.0,1915.0,8.944172,10.0
297.0,134.0,2.0603018,2.0
835.0,1117.0,2.3846428,2.0
1984.0,1910.0,3.0611725,3.0
1838.0,2063.0,2.682712,4.0
849.0,835.0,3.0579271,2.0
194.0,1820.0,2.6501782,3.0
16.0,425.0,2.6128654,3.0
1308.0,1771.0,2.2277117,2.0
1728.0,253.0,2.06628,2.0
2036.0,1267.0,2.3536599,2.0
1984.0,1278.0,2.7141166,3.0
1562.0,1444.0,3.1110063,2.0
809.0,1152.0,2.5966535,3.0
1852.0,7.0,2.8231826,2.0
1850.0,1015.0,1.9641035,2.0
433.0,191.0,5.1113315,6.0
11.0,707.0,2.0666378,2.0
29.0,437.0,2.0646722,2.0
1421.0,89.0,2.0575957,2.0
240.0,1231.0,2.5895748,2.0
1611.0,1961.0,2.177578,2.0
1852.0,1562.0,5.1867876,5.0
1139.0,1969.0,2.0649436,2.0
112.0,240.0,2.278574,2.0
2002.0,2003.0,2.135892,4.0
155.0,1189.0,2.4873028,2.0
1858.0,1807.0,3.419132,2.0
1133.0,1953.0,11.299882,14.0
12.0,1666.0,2.4104838,3.0
774.0,280.0,2.6085942,2.0
140.0,896.0,3.6000297,3.0
529.0,1869.0,2.5758057,2.0
1010.0,1260.0,2.5154095,5.0
155.0,1130.0,2.23984,2.0
191.0,194.0,15.012202,29.0
1286.0,1287.0,4.515746,2.0
850.0,1981.0,3.8922286,2.0
1838.0,823.0,2.5788932,2.0
883.0,1251.0,6.4302053,11.0
822.0,109.0,2.3936868,2.0
1136.0,813.0,2.3634458,2.0
1825.0,2060.0,3.4574094,2.0
106.0,410.0,2.4571333,4.0
166.0,145.0,6.105233,10.0
1894.0,1003.0,2.064159,2.0
1820.0,449.0,3.2797022,4.0
1148.0,1122.0,2.2172332,2.0
1278.0,940.0,5.145928,9.0
1603.0,1112.0,3.3062234,2.0
191.0,1422.0,2.3334334,2.0
1562.0,843.0,3.0296502,2.0
994.0,1020.0,2.1026037,2.0
1248.0,1043.0,2.7529757,5.0
237.0,1429.0,4.0924273,9.0
1121.0,166.0,2.5891838,2.0
892.0,1836.0,1.9553807,2.0
2011.0,888.0,2.8013732,5.0
147.0,239.0,2.4626977,3.0
4.0,773.0,2.2896528,2.0
1825.0,2063.0,2.6737392,2.0
1562.0,14.0,10.4403715,17.0
297.0,1757.0,2.1668196,2.0
1066.0,888.0,2.0599287,2.0
1993.0,1043.0,2.4447498,2.0
1816.0,791.0,4.187411,2.0
194.0,1112.0,2.6988971,2.0
1134.0,1646.0,2.308567,2.0
1316.0,1832.0,2.4999266,3.0
68.0,1780.0,2.0671673,2.0
1115.0,863.0,2.138784,2.0
856.0,838.0,2.9001696,2.0
898.0,1847.0,2.7755022,3.0
1747.0,2009.0,2.5828385,4.0
529.0,1872.0,2.8352482,3.0
1807.0,1984.0,2.8541093,4.0
1007.0,1747.0,3.670508,3.0
121.0,1807.0,4.9460764,3.0
896.0,1046.0,2.4776788,2.0
193.0,1930.0,2.7982743,3.0
2018.0,1878.0,2.6592307,3.0
509.0,57.0,2.4511204,3.0
624.0,489.0,2.0867114,2.0
1572.0,176.0,2.6891956,5.0
222.0,1730.0,2.6226969,2.0
2.0,1668.0,3.1040244,2.0
1167.0,1113.0,2.3778267,2.0
42.0,194.0,2.1726758,3.0
1910.0,1749.0,2.370933,2.0
1869.0,1325.0,1.9514486,2.0
1369.0,191.0,5.0070586,3.0
1899.0,2046.0,2.315898,2.0
849.0,1586.0,2.063403,2.0
899.0,2019.0,2.4155965,2.0
2011.0,1749.0,4.085556,10.0
940.0,954.0,3.5239186,4.0
820.0,1832.0,2.1941743,2.0
1820.0,438.0,2.3678913,3.0
1791.0,1794.0,1.972669,2.0
149.0,1184.0,2.2304645,3.0
1785.0,1820.0,2.1674829,2.0
631.0,1861.0,2.0669422,3.0
1283.0,2054.0,1.9392887,3.0
1261.0,914.0,2.3277597,2.0
194.0,1355.0,3.6683986,4.0
2002.0,1996.0,2.1110058,2.0
1270.0,1047.0,2.0595288,2.0
850.0,560.0,4.714364,3.0
1892.0,233.0,2.5396326,2.0
1899.0,744.0,2.3721142,2.0
1008.0,898.0,2.8490906,3.0
931.0,578.0,2.0605936,2.0
107.0,1134.0,2.1408682,2.0
2011.0,1894.0,2.5817187,4.0
1292.0,1306.0,2.0675688,2.0
469.0,1948.0,3.0822895,6.0
1807.0,1270.0,14.268328,25.0
1025.0,991.0,2.2727575,2.0
825.0,797.0,3.7941937,7.0
1838.0,585.0,2.5319157,3.0
93.0,1978.0,3.353125,7.0
1847.0,903.0,4.96811,10.0
556.0,555.0,2.1402779,2.0
156.0,1195.0,3.5129235,3.0
921.0,1027.0,2.0607862,2.0
320.0,101.0,2.0602367,2.0
1208.0,1272.0,2.7643063,3.0
500.0,1007.0,2.0825748,2.0
1930.0,1456.0,2.594275,2.0
2055.0,1852.0,2.367936,2.0
121.0,2027.0,3.855177,4.0
954.0,2014.0,2.666706,3.0
13.0,1341.0,2.3144581,3.0
1195.0,240.0,2.7148428,3.0
1260.0,1016.0,2.1414146,2.0
1825.0,930.0,2.054971,2.0
843.0,880.0,2.8402715,2.0
830.0,469.0,3.1846647,3.0
1930.0,1421.0,2.0846152,3.0
1591.0,1825.0,2.15094,3.0
360.0,659.0,2.5491757,3.0
178.0,1696.0,1.9500629,2.0
1820.0,1789.0,2.8574276,2.0
1154.0,206.0,3.5034413,3.0
1737.0,1511.0,2.0507236,2.0
176.0,1666.0,10.335005,17.0
529.0,1826.0,2.0690336,3.0
906.0,1846.0,2.5364614,3.0
1224.0,491.0,2.142143,2.0
137.0,1173.0,3.1309724,2.0
1284.0,1748.0,2.768621,5.0
1133.0,829.0,2.9694564,2.0
155.0,402.0,2.9713378,3.0
1188.0,139.0,2.1905339,2.0
155.0,1234.0,3.9589286,2.0
700.0,1214.0,2.061987,2.0
520.0,529.0,2.5193048,3.0
2009.0,1834.0,2.8110137,3.0
2011.0,1922.0,5.5133986,5.0
1892.0,779.0,2.4026852,2.0
2046.0,1899.0,2.1355515,2.0
1984.0,905.0,3.4846134,6.0
862.0,1948.0,2.1219616,4.0
